,id,name,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,estimated_diameter_km_min,estimated_diameter_km_max,close_approach_date,close_approach_date_full,orbiting_body,kilometers_per_second,kilometers_per_hour,miss_distance_kilometers
0,3471590,(2009 TK12),20.6,1,0,0.2020000070333481,0.4510000050067902,2021-01-02,2021-01-02 21:38:00,Earth,13.155,47359,37817502
1,3477945,(2009 WN8),25.2,0,0,0.02400000020861626,0.05400000140070915,2021-01-02,2021-01-02 16:51:00,Earth,9.2,33119,35660265
2,3703247,(2014 YD42),22.2,0,0,0.09700000286102295,0.2160000056028366,2021-01-02,2021-01-02 23:27:00,Earth,22.553,81191,52916844
3,3756788,(2016 PN),20.3,0,0,0.2319999933242798,0.5180000066757202,2021-01-02,2021-01-02 20:26:00,Earth,18.046,64965,56392979
4,3766183,(2016 YS8),21.4,0,0,0.1389999985694885,0.3120000064373016,2021-01-02,2021-01-02 00:00:00,Earth,18.382,66174,71330162
5,3787068,(2017 US),26.2,0,0,0.01499999966472387,0.03400000184774399,2021-01-02,2021-01-02 07:31:00,Earth,2.775,9988,31980061
6,3825828,(2018 OZ),24.9,0,0,0.02800000086426735,0.06199999898672104,2021-01-02,2021-01-02 01:14:00,Earth,7.481,26929,31284358
7,3837718,(2019 AU6),26.61,0,0,0.0130000002682209,0.02800000086426735,2021-01-02,2021-01-02 07:29:00,Earth,18.299,65875,46593731
8,3959223,(2019 YB4),26.8,0,0,0.01200000010430813,0.0260000005364418,2021-01-02,2021-01-02 09:25:00,Earth,7.153,25751,6452596
9,3972419,(2020 AT),25.2,0,0,0.02400000020861626,0.05400000140070915,2021-01-02,2021-01-02 18:55:00,Earth,8.508,30627,21610383
10,54051064,(2020 PE3),24.3,0,0,0.03700000047683716,0.0820000022649765,2021-01-02,2021-01-02 20:30:00,Earth,13.548,48774,69505596
11,54073358,(2020 TT7),22.27,0,0,0.09300000220537186,0.2090000063180923,2021-01-02,2021-01-02 03:59:00,Earth,3.591,12927,27857530
12,54095182,(2020 WA5),21.78,1,0,0.1169999986886978,0.2619999945163727,2021-01-02,2021-01-02 09:40:00,Earth,7.398,26633,11620152
13,54097969,(2020 XR),19.9,1,0,0.2779999971389771,0.621999979019165,2021-01-02,2021-01-02 04:47:00,Earth,19.901,71642,49077996
14,54099344,(2020 XP2),22.12,0,0,0.1000000014901161,0.2240000069141388,2021-01-02,2021-01-02 17:09:00,Earth,13.32,47951,8893571
15,54099601,(2020 XW2),25.0,0,0,0.02700000070035458,0.05900000035762787,2021-01-02,2021-01-02 02:10:00,Earth,2.782,10014,15776009
16,54104551,(2021 AQ1),25.07,0,0,0.0260000005364418,0.05799999833106995,2021-01-02,2021-01-02 07:34:00,Earth,13.975,50311,2263089
17,54104841,(2021 AJ2),23.26,0,0,0.05900000035762787,0.1319999992847443,2021-01-02,2021-01-02 07:12:00,Earth,9.798,35271,36346588
18,54104906,(2021 AR3),25.89,0,0,0.01799999922513962,0.0390000008046627,2021-01-02,2021-01-02 23:26:00,Earth,14.06,50614,3573749
19,54106086,(2021 AN7),20.8,0,0,0.1840000003576279,0.4110000133514404,2021-01-02,2021-01-02 23:01:00,Earth,8.868,31925,64611291
20,54144273,(2021 JD3),26.09,0,0,0.01600000075995922,0.03599999845027924,2021-01-02,2021-01-02 10:28:00,Earth,6.648,23933,46963234
21,2618348,618348 (2016 PN),20.23,0,0,0.238999992609024,0.5350000262260437,2021-01-02,2021-01-02 20:26:00,Earth,18.046,64965,56392979
22,54316681,(2022 UD),27.2,0,0,0.009999999776482582,0.02199999988079071,2021-01-02,2021-01-02 14:54:00,Earth,9.505,34218,64176604
23,54322909,(2022 VD),28.95,0,0,0.004000000189989805,0.009999999776482582,2021-01-02,2021-01-02 10:02:00,Earth,7.126,25654,13071669
24,54335008,(2022 YH),24.8,0,0,0.02899999916553497,0.06499999761581421,2021-01-02,2021-01-02 04:42:00,Earth,19.654,70754,51172925
25,3146499,(2003 AF23),21.01,1,0,0.1669999957084656,0.3729999959468842,2021-01-03,2021-01-03 18:22:00,Earth,15.784,56823,6992609
26,3838859,(2019 DJ1),26.8,0,0,0.01200000010430813,0.0260000005364418,2021-01-03,2021-01-03 12:57:00,Earth,3.736,13448,21008012
27,3843623,(2019 QW2),24.8,0,0,0.02899999916553497,0.06499999761581421,2021-01-03,2021-01-03 20:50:00,Earth,4.893,17614,3367746
28,54017041,(2020 JK2),27.31,0,0,0.008999999612569809,0.02099999971687794,2021-01-03,2021-01-03 01:03:00,Earth,9.636,34689,42511825
29,54100698,(2020 YZ),21.47,0,0,0.135000005364418,0.3019999861717224,2021-01-03,2021-01-03 14:06:00,Earth,16.831,60592,57138774
30,54100904,(2020 YA1),26.75,0,0,0.01200000010430813,0.02700000070035458,2021-01-03,2021-01-03 10:03:00,Earth,3.695,13303,1555487
31,54101664,(2020 YV1),24.43,0,0,0.03500000014901161,0.07699999958276749,2021-01-03,2021-01-03 02:31:00,Earth,11.35,40859,13114385
32,54102017,(2020 YL3),23.31,0,0,0.05799999833106995,0.1289999932050705,2021-01-03,2021-01-03 13:08:00,Earth,3.776,13592,32772887
33,54102521,(2020 YP4),26.05,0,0,0.01600000075995922,0.03700000047683716,2021-01-03,2021-01-03 12:02:00,Earth,6.827,24575,2193284
34,54104249,(2021 AH),28.49,0,0,0.004999999888241291,0.01200000010430813,2021-01-03,2021-01-03 23:37:00,Earth,21.667,78000,49783
35,54104272,(2021 AV),26.14,0,0,0.01600000075995922,0.03500000014901161,2021-01-03,2021-01-03 13:32:00,Earth,10.511,37841,754312
36,54104851,(2021 AU2),24.23,0,0,0.03799999877810478,0.08500000089406967,2021-01-03,2021-01-03 05:15:00,Earth,9.11,32797,3596962
