,id,name,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,estimated_diameter_km_min,estimated_diameter_km_max,close_approach_date,close_approach_date_full,orbiting_body,kilometers_per_second,kilometers_per_hour,miss_distance_kilometers
0,3625335,(2013 BC70),24.1,0,0,0.03999999910593033,0.09000000357627869,2022-01-02,2022-01-02 04:13:00,Earth,10.155,36557,21186736
1,3753290,(2016 JT28),23.7,0,0,0.04800000041723251,0.1080000028014183,2022-01-02,2022-01-02 02:29:00,Earth,13.51,48636,25824306
2,3756934,(2016 PC2),23.0,0,0,0.06700000166893005,0.1490000039339066,2022-01-02,2022-01-02 05:02:00,Earth,20.408,73467,74086679
3,3826839,(2018 PR23),25.4,0,0,0.02199999988079071,0.04899999871850014,2022-01-02,2022-01-02 02:04:00,Earth,8.433,30359,72291553
4,54053824,(2020 RG2),27.1,0,0,0.009999999776482582,0.02300000004470348,2022-01-02,2022-01-02 19:38:00,Earth,14.984,53942,58971891
5,54143421,(2021 JG1),24.76,0,0,0.02999999932944775,0.06599999964237213,2022-01-02,2022-01-02 03:26:00,Earth,9.078,32680,73298865
6,54171310,(2021 NT8),19.66,0,0,0.3109999895095825,0.6949999928474426,2022-01-02,2022-01-02 18:51:00,Earth,27.024,97284,65529214
7,54203032,(2021 TK3),20.05,0,0,0.2599999904632568,0.5809999704360962,2022-01-02,2022-01-02 09:23:00,Earth,7.791,28046,51317368
8,54231688,(2021 YK),27.35,0,0,0.008999999612569809,0.01999999955296516,2022-01-02,2022-01-02 16:03:00,Earth,7.044,25359,189869
9,54235436,(2022 AQ),27.04,0,0,0.009999999776482582,0.02300000004470348,2022-01-02,2022-01-02 15:58:00,Earth,11.443,41194,2886970
10,54235525,(2022 AP1),28.39,0,0,0.006000000052154064,0.01200000010430813,2022-01-02,2022-01-02 16:56:00,Earth,10.64,38304,180597
11,54235670,(2022 AV2),24.81,0,0,0.02899999916553497,0.06499999761581421,2022-01-02,2022-01-02 09:40:00,Earth,11.446,41204,9930915
12,54240279,(2022 BF2),22.95,0,0,0.06800000369548798,0.1529999971389771,2022-01-02,2022-01-02 09:45:00,Earth,13.681,49249,20909917
13,3313974,(2006 BV39),29.1,0,0,0.004000000189989805,0.008999999612569809,2022-01-03,2022-01-03 18:46:00,Earth,22.739,81860,73706237
14,3366282,(2007 BD),25.4,0,0,0.02199999988079071,0.04899999871850014,2022-01-03,2022-01-03 21:43:00,Earth,19.326,69574,56435592
15,3986680,(2020 AL3),26.2,0,0,0.01499999966472387,0.03400000184774399,2022-01-03,2022-01-03 15:12:00,Earth,23.229,83624,50774885
16,54106298,(2021 BO),32.95,0,0,0.001000000047497451,0.002000000094994903,2022-01-03,2022-01-03 02:37:00,Earth,19.594,70539,72545279
17,54160408,(2021 LG7),24.09,0,0,0.03999999910593033,0.09000000357627869,2022-01-03,2022-01-03 01:20:00,Earth,9.292,33451,28397457
18,54214719,(2021 UW6),22.31,0,0,0.09200000017881393,0.2049999982118607,2022-01-03,2022-01-03 19:32:00,Earth,10.923,39322,42212305
19,54235431,(2022 AL),27.21,0,0,0.009999999776482582,0.02099999971687794,2022-01-03,2022-01-03 12:45:00,Earth,4.109,14791,2806034
20,54235463,(2022 AU),29.13,0,0,0.004000000189989805,0.008999999612569809,2022-01-03,2022-01-03 03:05:00,Earth,7.229,26025,318517
21,54235467,(2022 AY),25.45,0,0,0.02199999988079071,0.04800000041723251,2022-01-03,2022-01-03 11:13:00,Earth,12.232,44034,7752437
22,54235479,(2022 AL1),26.28,0,0,0.01499999966472387,0.03299999982118607,2022-01-03,2022-01-03 20:50:00,Earth,8.832,31793,6545721
23,54235524,(2022 AO1),29.6,0,0,0.003000000026077032,0.007000000216066837,2022-01-03,2022-01-03 16:19:00,Earth,14.083,50699,347610
24,54235674,(2022 AZ2),27.75,0,0,0.007000000216066837,0.01700000092387199,2022-01-03,2022-01-03 19:34:00,Earth,9.772,35179,1966661
25,54243723,(2022 BX5),29.02,0,0,0.004000000189989805,0.008999999612569809,2022-01-03,2022-01-03 20:42:00,Earth,0.65,2340,2288858
26,54330582,(2022 WQ9),28.73,0,0,0.004999999888241291,0.01099999994039536,2022-01-03,2022-01-03 12:00:00,Earth,5.107,18386,29490472
27,3555070,(2011 AU4),25.9,0,0,0.01799999922513962,0.0390000008046627,2022-01-04,2022-01-04 07:35:00,Earth,13.344,48037,51253481
28,3595775,(2012 AB11),22.29,0,0,0.09300000220537186,0.2070000022649765,2022-01-04,2022-01-04 14:14:00,Earth,17.616,63419,35660468
29,3671126,(2014 JJ55),25.3,0,0,0.02300000004470348,0.05200000107288361,2022-01-04,2022-01-04 19:50:00,Earth,6.887,24792,27715673
