,id,name,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,estimated_diameter_km_min,estimated_diameter_km_max,close_approach_date,close_approach_date_full,epoch_date_close_approach,relative_velocity,orbiting_body,kilometers_per_second,kilometers_per_hour,miss_distance_kilometers
0,3968762,(2020 AC),26.7,False,False,0.0121494041,0.0271668934,2020-01-02,2020-Jan-02 06:56,1577948160000,,Earth,5.7931989816,20855.5163337274,1295027.456618093
0,3968763,(2020 AD),27.2,False,False,0.0096506147,0.0215794305,2020-01-02,2020-Jan-02 09:12,1577956320000,,Earth,15.6228251361,56242.1704900576,894941.73126692
0,3973542,(2020 AC1),28.4,False,False,0.0055533491,0.0124176661,2020-01-02,2020-Jan-02 22:50,1578005400000,,Earth,6.2239976847,22406.3916648496,797603.079671251
0,3976533,(2020 AP1),29.6,False,False,0.0031956189,0.007145621,2020-01-02,2020-Jan-02 15:33,1577979180000,,Earth,5.6085426146,20190.7534126522,326831.059243609
0,3986810,(2020 BK2),21.8,False,False,0.1160259082,0.2594418179,2020-01-02,2020-Jan-02 04:59,1577941140000,,Earth,20.4292494109,73545.2978792389,23948873.718409432
0,3989098,(2020 BS5),23.04,False,False,0.0655473256,0.1465682757,2020-01-02,2020-Jan-02 06:20,1577946000000,,Earth,2.153269397,7751.7698291505,33613641.596515216
0,54017163,(2020 KS2),24.4,False,False,0.0350392641,0.0783501764,2020-01-02,2020-Jan-02 19:00,1577991600000,,Earth,19.1821724835,69055.8209404315,63902534.350731774
0,54139319,(2021 HP2),27.43,False,False,0.0086807046,0.0194106455,2020-01-02,2020-Jan-02 11:04,1577963040000,,Earth,15.2903692652,55045.3293546962,44105946.235371392
0,54142833,(2021 JG),26.13,False,False,0.0157962856,0.0353215683,2020-01-02,2020-Jan-02 13:04,1577970240000,,Earth,9.4548208137,34037.3549291683,38174999.01464996
0,54236939,(2022 AT6),23.23,False,False,0.0600558028,0.1342888574,2020-01-02,2020-Jan-02 09:36,1577957760000,,Earth,23.5939235462,84938.1247663931,65730911.080551906
0,3623580,(2013 AS27),21.4,True,False,0.1394938229,0.3119176705,2020-01-03,2020-Jan-03 05:19,1578028740000,,Earth,16.8589374962,60692.1749864878,37725335.163920596
0,3623610,(2013 AB32),22.9,False,False,0.0699125232,0.1563291544,2020-01-03,2020-Jan-03 04:02,1578024120000,,Earth,20.4660018333,73677.606599929,50313408.692941698
0,3678563,(2014 OY337),20.85,False,False,0.1797028549,0.4018277992,2020-01-03,2020-Jan-03 06:48,1578034080000,,Earth,11.6155637034,41816.029332384,72295617.216025767
0,3735998,(2015 XQ55),21.81,False,False,0.1154928176,0.258249791,2020-01-03,2020-Jan-03 02:49,1578019740000,,Earth,25.4244422844,91527.9922238918,43912866.30831634
0,3736497,(2015 XF261),25.0,False,False,0.02658,0.0594346868,2020-01-03,2020-Jan-03 23:50,1578095400000,,Earth,8.0890391307,29120.5408706242,42486557.056750845
0,3781344,(2017 RV),21.94,True,False,0.1087814834,0.2432427915,2020-01-03,2020-Jan-03 16:30,1578069000000,,Earth,17.5742083609,63267.1500992998,12932302.386711888
0,3797676,(2018 AU11),25.3,False,False,0.0231502122,0.0517654482,2020-01-03,2020-Jan-03 09:14,1578042840000,,Earth,23.3810465728,84171.7676620638,54996599.633669958
0,3825061,(2018 LH),24.1,False,False,0.040230458,0.0899580388,2020-01-03,2020-Jan-03 10:39,1578047940000,,Earth,23.8388259996,85819.7735985971,58729330.949284544
0,3959233,(2019 YN4),22.8,False,False,0.0732073989,0.1636967205,2020-01-03,2020-Jan-03 00:06,1578009960000,,Earth,11.1775825475,40239.2971708999,53695251.562325856
0,3985565,(2020 AP2),24.8,False,False,0.0291443905,0.0651688382,2020-01-03,2020-Jan-03 13:29,1578058140000,,Earth,11.4053748251,41059.3493703517,14806424.095687201
0,3986832,(2020 BT2),23.67,False,False,0.0490405098,0.1096579137,2020-01-03,2020-Jan-03 11:22,1578050520000,,Earth,8.937504012,32175.0144431003,9643603.848562848
0,3989183,(2020 BD8),20.8,False,False,0.1838886721,0.411187571,2020-01-03,2020-Jan-03 09:11,1578042660000,,Earth,28.3289955186,101984.3838669935,55550344.526955678
0,3989261,(2020 BN11),22.3,False,False,0.0921626549,0.2060819612,2020-01-03,2020-Jan-03 15:31,1578065460000,,Earth,19.7494100299,71097.8761076148,37176045.010967523
0,54245585,(2022 CV2),22.99,False,False,0.0670741189,0.1499822895,2020-01-03,2020-Jan-03 19:42,1578080520000,,Earth,8.9136536773,32089.1532381195,19909947.517009878
0,54247545,(2016 FH60),23.12,False,False,0.0631764148,0.1412667581,2020-01-03,2020-Jan-03 19:41,1578080460000,,Earth,8.9138499051,32089.8596583094,19911034.629771381
0,54335458,(2022 YL1),24.26,False,False,0.0373727432,0.0835679943,2020-01-03,2020-Jan-03 19:15,1578078900000,,Earth,9.4808882194,34131.1975898321,13892989.659162574
0,2468541,468541 (2006 QA31),20.12,False,False,0.2515098375,0.5623930936,2020-01-04,2020-Jan-04 20:48,1578170880000,,Earth,16.0856026737,57908.1696251875,49651161.122775606
0,3252104,(2004 RO111),23.3,False,False,0.058150704,0.130028927,2020-01-04,2020-Jan-04 23:35,1578180900000,,Earth,12.2103040325,43957.0945169878,51345169.240238969
0,3414251,(2008 LW16),19.95,True,False,0.2719912773,0.6081909854,2020-01-04,2020-Jan-04 11:56,1578138960000,,Earth,16.5245499863,59488.3799505018,16984652.244343134
0,3655758,(2014 AD17),20.24,False,False,0.2379879547,0.5321572445,2020-01-04,2020-Jan-04 05:52,1578117120000,,Earth,5.8308428,20991.0340800326,43296505.835281929
0,3736409,(2015 XR169),28.7,False,False,0.0048367649,0.0108153351,2020-01-04,2020-Jan-04 10:50,1578135000000,,Earth,6.6472022728,23929.9281822522,18351838.831947207
0,3843700,(2019 QC6),23.7,False,False,0.0483676488,0.1081533507,2020-01-04,2020-Jan-04 08:11,1578125460000,,Earth,7.9547388034,28637.0596922748,72399592.866882708
0,3959223,(2019 YB4),26.8,False,False,0.0116025908,0.0259441818,2020-01-04,2020-Jan-04 10:32,1578133920000,,Earth,6.0579238792,21808.5259651194,1255605.410955906
0,3976532,(2020 AN1),26.0,False,False,0.0167708462,0.0375007522,2020-01-04,2020-Jan-04 07:00,1578121200000,,Earth,11.831833731,42594.6014314265,988421.057012329
0,3978224,(2020 AM2),26.7,False,False,0.0121494041,0.0271668934,2020-01-04,2020-Jan-04 13:43,1578145380000,,Earth,10.1138873217,36409.9943579602,4133191.903308405
0,3985566,(2020 AQ2),25.79,False,False,0.0184737464,0.0413085527,2020-01-04,2020-Jan-04 06:23,1578118980000,,Earth,6.7546353955,24316.6874236371,8868590.137020319
0,3985570,(2020 AU2),25.1,False,False,0.0253837029,0.0567596853,2020-01-04,2020-Jan-04 05:50,1578117000000,,Earth,8.5844350179,30903.9660643626,5420961.200389412
0,54049906,(2020 PP),20.84,True,False,0.1805323255,0.4036825521,2020-01-04,2020-Jan-04 21:46,1578174360000,,Earth,13.3058362374,47901.0104547556,44426796.446571336
0,54189756,(2021 QC1),22.84,False,False,0.0718712133,0.1607089186,2020-01-04,2020-Jan-04 02:52,1578106320000,,Earth,8.3296095006,29986.5942022763,40774836.716037139
0,54218581,(2021 UP20),24.22,False,False,0.0380675544,0.0851216393,2020-01-04,2020-Jan-04 10:59,1578135540000,,Earth,8.9591653151,32252.9951341813,34904417.765903862
0,54299005,(2022 QZ21),24.46,False,False,0.0340843469,0.0762149166,2020-01-04,2020-Jan-04 09:06,1578128760000,,Earth,4.8168092557,17340.5133205582,52782225.961820152
0,2099942,99942 Apophis (2004 MN4),19.09,True,False,0.4041615334,0.9037326626,2020-01-05,2020-Jan-05 04:06,1578197160000,,Earth,19.5813214928,70492.7573740987,66975831.942356246
0,2538644,538644 (2016 FA4),19.48,False,False,0.3377185972,0.7551617405,2020-01-05,2020-Jan-05 01:51,1578189060000,,Earth,24.1095903408,86794.5252270463,40231383.228700625
0,3388355,(2007 TE66),21.57,False,False,0.1289896833,0.2884297004,2020-01-05,2020-Jan-05 02:43,1578192180000,,Earth,10.5370612492,37933.4204972071,34244049.74337645
0,3596491,(2012 BU61),21.5,True,False,0.1332155667,0.2978790628,2020-01-05,2020-Jan-05 11:14,1578222840000,,Earth,26.1889864249,94280.3511298063,14950559.997855631
0,3618066,(2012 WH),25.5,False,False,0.0211132445,0.0472106499,2020-01-05,2020-Jan-05 00:19,1578183540000,,Earth,16.5663175595,59638.7432143361,60954802.329683282
0,3738544,(2015 YG),23.2,False,False,0.0608912622,0.1361570015,2020-01-05,2020-Jan-05 19:47,1578253620000,,Earth,23.461087318,84459.914344665,51191517.671876218
0,3837783,(2019 AM8),27.0,False,False,0.0105816886,0.023661375,2020-01-05,2020-Jan-05 12:24,1578227040000,,Earth,20.17693482,72636.9653521098,43236658.938112263
0,3843405,(2019 OL3),24.4,False,False,0.0350392641,0.0783501764,2020-01-05,2020-Jan-05 21:53,1578261180000,,Earth,9.2602200549,33336.7921977165,56065398.234973096
0,3959232,(2019 YM4),25.4,False,False,0.022108281,0.0494356193,2020-01-05,2020-Jan-05 20:50,1578257400000,,Earth,6.789072923,24440.6625226879,14678358.69982416
0,3986812,(2020 BM2),26.8,False,False,0.0116025908,0.0259441818,2020-01-05,2020-Jan-05 04:57,1578200220000,,Earth,3.7321948649,13435.9015135389,6434548.16460526
0,3989187,(2020 BH8),25.3,False,False,0.0231502122,0.0517654482,2020-01-05,2020-Jan-05 23:58,1578268680000,,Earth,6.7411388922,24268.1000119527,10213313.901333903
0,3989254,(2020 BE11),22.45,False,False,0.086011194,0.1923268766,2020-01-05,2020-Jan-05 09:21,1578216060000,,Earth,13.9510217011,50223.678124113,11473325.119159179
0,3989305,(2020 BU13),21.27,False,False,0.1480999721,0.331161605,2020-01-05,2020-Jan-05 04:03,1578196980000,,Earth,38.2155554551,137575.999638468,26866728.741011726
0,2613829,613829 (2007 TE66),21.57,False,False,0.1289896833,0.2884297004,2020-01-05,2020-Jan-05 02:43,1578192180000,,Earth,10.5370627008,37933.4257227727,34244056.968953571
0,3595775,(2012 AB11),22.29,False,False,0.0925880583,0.2070331923,2020-01-06,2020-Jan-06 10:51,1578307860000,,Earth,17.0514486296,61385.2150667098,29732811.246919947
0,3714175,(2015 FE37),20.01,False,False,0.2645787599,0.5916160926,2020-01-06,2020-Jan-06 05:49,1578289740000,,Earth,25.9761618562,93514.1826824197,49993384.995013717
0,3795086,(2017 YQ5),24.7,False,False,0.0305179233,0.0682401509,2020-01-06,2020-Jan-06 14:20,1578320400000,,Earth,10.1252350253,36450.8460911754,19300438.387064875
0,3843208,(2019 NB5),20.3,False,False,0.2315021222,0.5176544822,2020-01-06,2020-Jan-06 22:09,1578348540000,,Earth,24.3790933125,87764.7359248571,73596400.869566146
0,3893736,(2019 WD5),21.95,True,False,0.1082816778,0.2421251924,2020-01-06,2020-Jan-06 18:18,1578334680000,,Earth,16.2021708473,58327.815050213,8905434.476744323
0,3943322,(2019 YW),23.5,False,False,0.0530340723,0.1185877909,2020-01-06,2020-Jan-06 15:01,1578322860000,,Earth,13.4289501845,48344.2206643606,9395230.843340078
0,3972422,(2020 AW),28.73,False,False,0.004770402,0.0106669431,2020-01-06,2020-Jan-06 01:48,1578275280000,,Earth,4.2717897154,15378.4429756099,1829584.04447018
0,3976538,(2020 AU1),26.5,False,False,0.0133215567,0.0297879063,2020-01-06,2020-Jan-06 00:33,1578270780000,,Earth,6.270438747,22573.5794893753,1588503.097661838
0,3989159,(2020 BZ6),25.5,False,False,0.0211132445,0.0472106499,2020-01-06,2020-Jan-06 11:16,1578309360000,,Earth,3.7360319764,13449.7151150165,18387490.667210293
0,54104251,(2021 AK),24.27,False,False,0.037201031,0.0831840342,2020-01-06,2020-Jan-06 10:40,1578307200000,,Earth,13.1187241303,47227.4068690404,35521606.637143398
0,54105263,(2021 AZ4),21.45,False,False,0.1363185559,0.3048175575,2020-01-06,2020-Jan-06 17:30,1578331800000,,Earth,22.8649044003,82313.6558409616,45763323.324713584
0,54191333,(2021 QP3),22.7,False,False,0.0766575574,0.1714115092,2020-01-06,2020-Jan-06 17:47,1578332820000,,Earth,24.7428213363,89074.1568107808,65094316.942087876
0,54293111,(2022 PJ),23.09,False,False,0.0640552863,0.1432319745,2020-01-06,2020-Jan-06 12:27,1578313620000,,Earth,13.8567992859,49884.4774293044,48456719.758395568
0,2281365,281365 (2008 CM116),17.53,False,False,0.8290008515,1.8537022573,2020-01-07,2020-Jan-07 22:04,1578434640000,,Earth,30.542549211,109953.1771595687,67102892.429487349
0,2481442,481442 (2006 WO3),21.58,False,False,0.1283970296,0.2871044863,2020-01-07,2020-Jan-07 06:35,1578378900000,,Earth,22.7517827178,81906.4177841401,62117596.025308228
0,2512244,512244 (2015 YE18),17.81,False,False,0.7287104149,1.6294460236,2020-01-07,2020-Jan-07 20:08,1578427680000,,Earth,34.7839542158,125222.2351769333,64618058.494576919
0,3444294,(2009 AH16),17.72,False,False,0.7595475664,1.6983999907,2020-01-07,2020-Jan-07 20:31,1578429060000,,Earth,24.1143474338,86811.6507615745,50180522.93955173
0,3626689,(2013 CA88),24.89,False,False,0.0279611466,0.0625230245,2020-01-07,2020-Jan-07 19:33,1578425580000,,Earth,3.3977533005,12231.9118818438,10708205.032829526
0,3703545,(2015 AJ44),22.3,False,False,0.0921626549,0.2060819612,2020-01-07,2020-Jan-07 20:12,1578427920000,,Earth,11.2207625135,40394.7450484938,42084895.048563056
0,3755188,(2016 NF22),20.33,False,False,0.228325794,0.5105519964,2020-01-07,2020-Jan-07 17:07,1578416820000,,Earth,17.2770165953,62197.2597429277,27328961.565421898
0,3795123,(2017 YK7),24.56,False,False,0.0325502986,0.0727846803,2020-01-07,2020-Jan-07 21:26,1578432360000,,Earth,16.0762383513,57874.4580645,28744091.248483997
0,3799271,(2018 CA2),26.1,False,False,0.0160160338,0.0358129403,2020-01-07,2020-Jan-07 07:59,1578383940000,,Earth,20.1569687355,72565.0874478518,74480105.58674759
0,3841977,(2019 KW),26.9,False,False,0.0110803882,0.0247765013,2020-01-07,2020-Jan-07 04:32,1578371520000,,Earth,8.9088255857,32071.7721084998,40327952.498450884
0,3843671,(2019 QY4),27.6,False,False,0.0080270317,0.0179489885,2020-01-07,2020-Jan-07 08:48,1578386880000,,Earth,2.3189754505,8348.3116219697,53722497.897187891
0,3893726,(2019 WV4),23.4,False,False,0.0555334912,0.1241766613,2020-01-07,2020-Jan-07 11:30,1578396600000,,Earth,7.9564505748,28643.2220692686,15312104.898757639
0,3893768,(2019 WH6),18.87,False,False,0.4472547654,1.0000920588,2020-01-07,2020-Jan-07 14:26,1578407160000,,Earth,32.2683352007,116166.0067224883,32617350.240441548
0,3956452,(2019 YT3),25.8,False,False,0.0183888672,0.0411187571,2020-01-07,2020-Jan-07 02:49,1578365340000,,Earth,7.3699752155,26531.9107757481,5049781.613227711
0,3959221,(2019 YZ3),21.25,True,False,0.1494703242,0.3342258056,2020-01-07,2020-Jan-07 01:49,1578361740000,,Earth,17.0894681252,61522.0852508129,23209209.205638979
0,3973548,(2020 AJ1),23.3,False,False,0.058150704,0.130028927,2020-01-07,2020-Jan-07 15:00,1578409200000,,Earth,22.1660967165,79797.948179395,5190920.830703449
0,3976539,(2020 AV1),26.09,False,False,0.0160899605,0.0359782453,2020-01-07,2020-Jan-07 07:45,1578383100000,,Earth,12.0877553418,43515.9192306384,2782880.703429682
0,3986636,(2020 AD3),21.6,True,False,0.1272198785,0.2844722965,2020-01-07,2020-Jan-07 18:45,1578422700000,,Earth,16.409301969,59073.4870884497,12841544.156463057
0,3986763,(2020 BL1),25.9,False,False,0.0175612318,0.0392681082,2020-01-07,2020-Jan-07 06:47,1578379620000,,Earth,8.8552015875,31878.7257149003,4468301.633878879
0,3986773,(2020 BV1),22.4,False,False,0.0880146521,0.1968067451,2020-01-07,2020-Jan-07 05:47,1578376020000,,Earth,9.9349785032,35765.9226115121,18361102.096615264
0,3986840,(2020 BJ3),24.7,False,False,0.0305179233,0.0682401509,2020-01-07,2020-Jan-07 21:21,1578432060000,,Earth,4.5358574242,16329.086727278,15599248.121803432
0,3986843,(2020 BO3),23.4,False,False,0.0555334912,0.1241766613,2020-01-07,2020-Jan-07 07:51,1578383460000,,Earth,5.1854755242,18667.7118869679,24136163.011112524
0,54017615,(2020 MP2),22.28,False,False,0.0930154254,0.2079888141,2020-01-07,2020-Jan-07 01:54,1578362040000,,Earth,11.4504327731,41221.5579831874,41551478.321681434
0,54076013,(2020 UC4),26.09,False,False,0.0160899605,0.0359782453,2020-01-07,2020-Jan-07 23:24,1578439440000,,Earth,8.9070914774,32065.5293187876,40538094.122418584
0,54104267,(2021 AR),23.95,False,False,0.0431077124,0.0963917753,2020-01-07,2020-Jan-07 20:30,1578429000000,,Earth,28.1329572349,101278.6460456422,62722255.311986127
0,54207046,(2021 TN9),26.95,False,False,0.0108281678,0.0242125192,2020-01-07,2020-Jan-07 19:27,1578425220000,,Earth,16.7790874669,60404.7148810193,60160260.605863924
0,2018172,18172 (2000 QL7),15.71,False,False,1.9167036797,4.2858797205,2020-01-08,2020-Jan-08 22:09,1578521340000,,Earth,8.7595532399,31534.391663718,54963235.463994699
0,2086450,86450 (2000 CK33),18.4,False,False,0.5553349116,1.2417666126,2020-01-08,2020-Jan-08 01:18,1578446280000,,Earth,17.8884244752,64398.3281107344,25829009.142080449
0,2307070,307070 (2002 AV31),20.64,False,False,0.1979497587,0.4426291165,2020-01-08,2020-Jan-08 14:13,1578492780000,,Earth,8.3115852908,29921.707046893,41789748.518989707
0,2417871,417871 (2007 MB24),18.32,True,False,0.5761757511,1.2883681464,2020-01-08,2020-Jan-08 22:21,1578522060000,,Earth,25.52151039,91877.4374038232,60772874.908876943
0,3036363,(2000 HB24),23.7,False,False,0.0483676488,0.1081533507,2020-01-08,2020-Jan-08 23:02,1578524520000,,Earth,19.0305618158,68510.0225368282,73310464.422618069
0,3785686,(2017 TG2),21.67,True,False,0.1231841913,0.2754482254,2020-01-08,2020-Jan-08 13:51,1578491460000,,Earth,18.7983464097,67674.0470750269,57258614.06368252
0,3791344,(2017 XU60),27.1,False,False,0.0101054342,0.0225964377,2020-01-08,2020-Jan-08 01:42,1578447720000,,Earth,17.0981436782,61553.3172414073,50932331.882207718
0,3843403,(2019 OA3),21.89,False,False,0.1113153296,0.2489086439,2020-01-08,2020-Jan-08 00:49,1578444540000,,Earth,14.7646687688,53152.8075675295,20828586.53823074
0,3942360,(2019 YH),21.7,False,False,0.1214940408,0.2716689341,2020-01-08,2020-Jan-08 20:30,1578515400000,,Earth,16.4161376006,59098.0953621877,28007764.653147706
0,3959224,(2019 YC4),22.3,False,False,0.0921626549,0.2060819612,2020-01-08,2020-Jan-08 12:31,1578486660000,,Earth,10.5746603685,38068.7773266324,41828086.623365235
0,3968757,(2019 YD5),25.9,False,False,0.0175612318,0.0392681082,2020-01-08,2020-Jan-08 01:05,1578445500000,,Earth,5.6585983292,20370.9539852595,8023444.166112866
0,3976535,(2020 AR1),27.2,False,False,0.0096506147,0.0215794305,2020-01-08,2020-Jan-08 05:17,1578460620000,,Earth,9.587612512,34515.4050431976,2655362.237379361
0,3985572,(2020 AW2),23.33,False,False,0.0573528464,0.1282448632,2020-01-08,2020-Jan-08 17:49,1578505740000,,Earth,7.1917021396,25890.1277027066,13473832.25487722
0,3986836,(2020 BX2),25.32,False,False,0.0229379698,0.0512908597,2020-01-08,2020-Jan-08 06:04,1578463440000,,Earth,6.0188111657,21667.7201966317,13148004.383990044
0,54051166,(2020 PJ6),25.6,False,False,0.0201629919,0.0450858206,2020-01-08,2020-Jan-08 19:59,1578513540000,,Earth,3.1142453616,11211.2833017146,16555270.857868583
0,54265625,(2022 FK1),26.47,False,False,0.013506878,0.0302022973,2020-01-08,2020-Jan-08 01:46,1578447960000,,Earth,7.9143714578,28491.7372482292,36386560.188827136
0,3174196,(2004 BZ74),18.27,False,False,0.5895966084,1.3183780956,2020-01-09,2020-Jan-09 01:13,1578532380000,,Earth,34.0481029676,122573.1706832804,37278100.528283653
0,3338136,(2006 PY17),19.2,True,False,0.3841978911,0.8590926012,2020-01-09,2020-Jan-09 01:26,1578533160000,,Earth,14.8480001139,53452.8004101134,41723330.281063912
0,3576728,(2011 QJ21),24.5,False,False,0.0334622374,0.0748238376,2020-01-09,2020-Jan-09 16:25,1578587100000,,Earth,24.3761856634,87754.2683883779,55384494.000283777
0,3762439,(2016 UT80),19.06,False,False,0.4097839804,0.9163048363,2020-01-09,2020-Jan-09 22:15,1578608100000,,Earth,4.569622046,16450.6393656053,58601098.961233471
0,3837718,(2019 AU6),26.61,False,False,0.0126635356,0.0283165265,2020-01-09,2020-Jan-09 07:23,1578554580000,,Earth,13.5555017255,48799.8062117874,23780731.427168066
0,3976536,(2020 AT1),27.5,False,False,0.008405334,0.0187948982,2020-01-09,2020-Jan-09 11:55,1578570900000,,Earth,6.2282927435,22421.8538764568,948358.687587181
0,3986637,(2020 AE3),23.3,False,False,0.058150704,0.130028927,2020-01-09,2020-Jan-09 22:35,1578609300000,,Earth,14.422315588,51920.3361169699,15622526.118847338
0,3986838,(2020 BG3),19.2,False,False,0.3841978911,0.8590926012,2020-01-09,2020-Jan-09 13:53,1578577980000,,Earth,27.5005885763,99002.1188745256,64180547.780329124
0,3986847,(2020 BU3),23.3,False,False,0.058150704,0.130028927,2020-01-09,2020-Jan-09 02:25,1578536700000,,Earth,26.1462379483,94126.4566137515,12013741.620136823
0,3989307,(2020 BX13),23.1,False,False,0.063760979,0.1425738833,2020-01-09,2020-Jan-09 04:18,1578543480000,,Earth,5.1128126233,18406.1254439498,34630103.263320558
0,3989675,(2020 CP1),22.1,False,False,0.1010543415,0.2259643771,2020-01-09,2020-Jan-09 03:39,1578541140000,,Earth,15.639214246,56301.1712856198,37329341.389107533
0,2613450,613450 (2006 PY17),19.3,True,False,0.3669061375,0.8204270649,2020-01-09,2020-Jan-09 01:26,1578533160000,,Earth,14.8480007071,53452.8025456964,41723333.03366472
0,54291612,(2022 OD2),22.94,False,False,0.0686364759,0.1534758258,2020-01-09,2020-Jan-09 21:15,1578604500000,,Earth,14.7577512305,53127.9044297226,57924710.966561156
0,54294124,(2022 PS1),24.1,False,False,0.040230458,0.0899580388,2020-01-09,2020-Jan-09 10:09,1578564540000,,Earth,18.5460782073,66765.8815461212,73043061.790422375
0,3174187,(2004 BT58),22.2,False,False,0.096506147,0.2157943048,2020-01-10,2020-Jan-10 11:21,1578655260000,,Earth,13.2162439215,47578.4781175786,13757082.013838819
0,3376346,(2007 JH22),21.7,True,False,0.1214940408,0.2716689341,2020-01-10,2020-Jan-10 01:49,1578620940000,,Earth,19.4770832225,70117.4996010158,32678671.469499425
0,3739056,(2015 YT9),20.73,False,False,0.1899131235,0.4246586539,2020-01-10,2020-Jan-10 16:13,1578672780000,,Earth,31.834912037,114605.6833332706,64959283.023123856
0,3825569,(2018 NF1),24.6,False,False,0.0319561887,0.0714562102,2020-01-10,2020-Jan-10 12:07,1578658020000,,Earth,12.8397857923,46223.2288523768,18948354.264898685
0,3843354,(2019 OX),24.01,False,False,0.0419329075,0.0937648318,2020-01-10,2020-Jan-10 19:56,1578686160000,,Earth,13.9861598028,50350.1752899821,47053633.511696967
0,3879231,(2019 UO),20.05,True,False,0.2597496533,0.580817882,2020-01-10,2020-Jan-10 23:48,1578700080000,,Earth,9.3953171405,33823.1417058035,4519342.123315681
0,3893637,(2019 VF6),21.15,True,False,0.1565146436,0.3499773825,2020-01-10,2020-Jan-10 23:42,1578699720000,,Earth,11.9380904723,42977.1257003509,20235113.98579421
0,3943321,(2019 YV),23.6,False,False,0.0506471459,0.1132504611,2020-01-10,2020-Jan-10 00:29,1578616140000,,Earth,4.53696811,16333.0851959027,6629847.58549878
0,3959226,(2019 YF4),27.0,False,False,0.0105816886,0.023661375,2020-01-10,2020-Jan-10 09:25,1578648300000,,Earth,2.897103517,10429.572661306,1427828.49273428
0,3978223,(2020 AL2),25.6,False,False,0.0201629919,0.0450858206,2020-01-10,2020-Jan-10 06:10,1578636600000,,Earth,24.7866415134,89231.9094480784,2383363.853898758
0,3986771,(2020 BT1),26.04,False,False,0.0164647438,0.0368162863,2020-01-10,2020-Jan-10 11:48,1578656880000,,Earth,3.5110173072,12639.6623059895,11513208.25537628
0,3986830,(2020 BR2),25.8,False,False,0.0183888672,0.0411187571,2020-01-10,2020-Jan-10 03:31,1578627060000,,Earth,3.4129831478,12286.7393319605,10638307.163407318
0,3989140,(2020 BX5),24.1,False,False,0.040230458,0.0899580388,2020-01-10,2020-Jan-10 04:35,1578630900000,,Earth,15.1247446581,54449.0807692655,20903301.877940984
0,3989160,(2020 BB7),24.7,False,False,0.0305179233,0.0682401509,2020-01-10,2020-Jan-10 20:49,1578689340000,,Earth,6.1062884917,21982.6385700023,19084914.680528185
0,3989166,(2020 BK7),25.8,False,False,0.0183888672,0.0411187571,2020-01-10,2020-Jan-10 17:14,1578676440000,,Earth,3.5577830973,12808.0191501053,4741062.981456269
