Fair Wage Schedule for Federal Construction Contracts,,,,
,,,,
Province,Area Zone,Classes,Occupation,Wage Rate per Hour
Manitoba,Outside Winnipeg Area,Part 3: Other workers,"Heavy construction sector -Watcher, flagger and rodman",$9.90
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Boilermaker,$25.80
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Bricklayer,$26.90
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Carpenter,$24.50
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Concrete finisher,$21.15
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Construction electrician,$28.95
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Crane and hoisting equipment operator - Mobile crane operator,$24.20
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Crane and hoisting equipment operator - Tower crane operator,$26.15
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Crane and hoisting equipment operator - Boom truck hoist operator,$21.00
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Glazier,$23.40
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Industrial mechanic (millwright),$26.70
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Ironworker - Structural steel erector,$26.90
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Ironworker - Reinforcing iron (rebar),$23.35
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Ironworker - Miscellaneous metal worker/ornamental worker,$26.49
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Lather (interior systems mechanic),$22.25
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,"Painter, decorator",$21.35
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Plumber,$28.60
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Refrigeration and air conditioning mechanic,$27.80
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Roofer,$23.15
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Sheet metal worker,$29.50
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Sprinkler system installer,$31.05
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Steamfitter/pipefitter,$28.60
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,Asbestos abatement worker,$19.50
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Asbestos abatement worker Trainee 2 (1,201 to 2,400 hours)",$15.60
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Asbestos abatement worker Trainee 1 (0 to 1,200 hours)",$11.70
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,Elevator constructor,$30.00
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Elevator constructor Trainee 2 (1,201 to 2,400 hours)",$24.00
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Elevator constructor Trainee 1 (0 to 1,200 hours)",$18.00
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,Floor coverer,$22.50
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Floor coverer Trainee 2 (1,201 to 2,400 hours)",$18.00
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Floor coverer Trainee 1 (0 to 1,200 hours)",$13.50
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,Insulator,$23.10
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Insulator Trainee 2 (1,201 to 2,400 hours)",$18.48
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Insulator Trainee 1 (0 to 1,200 hours)",$13.86
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,Specialty labourer (assisting bricklayer),$19.85
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Specialty labourer (assisting bricklayer) Trainee 2 (1,201 to 2,400 hours)",$15.88
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Specialty labourer (assisting bricklayer) Trainee 1 (0 to 1,200 hours",$11.91
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,General construction labourer,$18.90
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- General construction labourer Trainee 2 (1,201 to 2,400 hours)",$15.12
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- General construction labourer Trainee 1 (0 to 1,200 hours)",$11.34
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"Marble, tile and terrazzo",$21.30
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Marble, tile and terrazzo Trainee 2 (1,201 to 2,400 hours)",$17.04
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Marble, tile and terrazzo Trainee 1 (0 to 1,200 hours)",$12.78
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,Plasterer,$22.30
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Plasterer Trainee 2 (1,201 to 2,400 hours)",$17.84
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Plasterer Trainee 1 (0 to 1,200 hours)",$13.38
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,Pre-fabricated metal building erector,$24.00
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Pre-fabricated metal building erector Trainee 2 (1,201 to 2,400 hours)",$19.20
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Pre-fabricated metal building erector Trainee 1 (0 to 1,200 hours)",$14.40
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"Sheeter, decker and cladder",$25.95
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Sheeter, decker and cladder Trainee 2 (1,201 to 2,400 hours)",$20.76
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Sheeter, decker and cladder Trainee 1 (0 to 1,200 hours)",$15.57
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,Scaffolder,$24.50
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Scaffolder Trainee 2 (1,201 to 2,400 hours)",$19.60
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Scaffolder Trainee 1 (0 to 1,200 hours)",$14.70
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,Construction worker,$12.20
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,Heavy construction sector - Mobile crane operator working on heavy construction,$17.70
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,Heavy construction sector -Heavy duty mechanic or welder working on heavy equipment,$16.20
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,"Heavy construction sector - Operator of a dragline, clam shell, shovel, hydraulic excavator, pile driver and other equipment requiring similar skills",$16.00
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,"Heavy construction sector - Plant operator, operator of paving machine, dozer, loader, loader backhoe, grader, scraper, hydro excavator, tractor with controlled attachments, and other equipment requiring similar skills",$14.25
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,"Heavy construction sector - Truck operator of trucks with four or more axles, fuel truck, distribution truck, truck with hydraulic boom hoist",$14.00
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,"Heavy construction sector - Truck operator of trucks with less than four axles and more than 2,500 kgs",$13.20
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,"Heavy construction sector - Operator of light trucks (less than 2,500 kgs) ride-on/tractor-pulled compaction equipment and other equipment requiring similar skills",$12.40
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,"Heavy construction sector - Skilled labourer including concrete finisher, pipelayer, screedman and jobs requiring similar skills in the heavy construction industry",$12.80
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,Heavy construction sector - General labourer in heavy construction industry not otherwise classified,$11.40
Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,"Heavy construction sector - Watcher, flagger and rodman",$9.90
New Brunswick,East Zone,,Electricians,$23.42
New Brunswick,East Zone,,Plumbers,$22.94
New Brunswick,East Zone,,"Pipefitters, Steamfitters",$29.32
New Brunswick,East Zone,,Sheet Metal Workers,$21.87
New Brunswick,East Zone,,Ironworkers,$27.09
New Brunswick,East Zone,,Carpenters,$17.02
New Brunswick,East Zone,,Bricklayers,$21.69
New Brunswick,East Zone,,Cement Finishers,$17.07
New Brunswick,East Zone,,"Tilesetters (including terrazo, marble setters)",$17.41
New Brunswick,East Zone,,"Drywall Installers, Finishers, Lathers and Tapers",$18.62
New Brunswick,East Zone,,Roofers,$19.84
New Brunswick,East Zone,,Painters,$14.72
New Brunswick,East Zone,,Heavy-Duty Equipment Mechanics,$18.68
New Brunswick,East Zone,,Refrigeration and Air Conditioning Mechanics,$21.36
New Brunswick,East Zone,,Crane Operators,$20.82
New Brunswick,East Zone,,Truck Drivers,$13.61
New Brunswick,East Zone,,"Operators Heavy Equipment (excluding Cranes, Graders, Asphalt Paving)",$15.09
New Brunswick,East Zone,,Grader Operators,$13.24
New Brunswick,East Zone,,Pressure Vessel Welder,$20.70
New Brunswick,East Zone,,Paver and Asphalt Plant Operators,$13.29
New Brunswick,East Zone,,Traffic Accommodation Person (Flag Persons),$9.51
New Brunswick,East Zone,,"Trade Helpers, Labourers (excluding Flag persons)",$13.05
New Brunswick,West Zone,,Electricians,$19.43
New Brunswick,West Zone,,Plumbers,$21.87
New Brunswick,West Zone,,"Pipefitters, Steamfitters",$30.66
New Brunswick,West Zone,,Sheet Metal Workers,$16.78
New Brunswick,West Zone,,Ironworkers,$27.95
New Brunswick,West Zone,,Carpenters,$16.30
New Brunswick,West Zone,,Bricklayers,$21.67
New Brunswick,West Zone,,Cement Finishers,$15.08
New Brunswick,West Zone,,"Tilesetters (including terrazo, marble setters)",$17.41
New Brunswick,West Zone,,"Drywall Installers, Finishers, Lathers and Tapers",$18.52
New Brunswick,West Zone,,Roofers,$19.01
New Brunswick,West Zone,,Painters,$18.56
New Brunswick,West Zone,,Heavy-Duty Equipment Mechanics,$16.04
New Brunswick,West Zone,,Refrigeration and Air Conditioning Mechanics,$20.48
New Brunswick,West Zone,,Crane Operators,$20.82
New Brunswick,West Zone,,Truck Drivers,$13.74
New Brunswick,West Zone,,"Operators Heavy Equipment (excluding Cranes, Graders, Asphalt Paving)",$16.52
New Brunswick,West Zone,,Grader Operators,$15.35
New Brunswick,West Zone,,Paver and Asphalt Plant Operators,$14.73
New Brunswick,West Zone,,Pressure Vessel Welder,$20.44
New Brunswick,West Zone,,Traffic Accommodation Person (Flag persons),$9.33
New Brunswick,West Zone,,"Trade Helpers, Labourers (excluding Flag persons)",$12.90
Nova Scotia,North/Central/South Zone,,Electricians,$20.08
Nova Scotia,North/Central/South Zone,,Plumbers,$19.06
Nova Scotia,North/Central/South Zone,,"Pipefitters, Steamfitters",$26.48
Nova Scotia,North/Central/South Zone,,Sprinkler System Installers,$26.61
Nova Scotia,North/Central/South Zone,,Sheet Metal Workers,$20.46
Nova Scotia,North/Central/South Zone,,Ironworkers,$24.65
Nova Scotia,North/Central/South Zone,,Carpenters,$17.66
Nova Scotia,North/Central/South Zone,,Bricklayers,$23.08
Nova Scotia,North/Central/South Zone,,Cement Finishers,$19.91
Nova Scotia,North/Central/South Zone,,"Tilesetters (including terrazo, marble setters)",$18.72
Nova Scotia,North/Central/South Zone,,"Lathers, Interior System Mechanics/Drywall Installers",$23.87
Nova Scotia,North/Central/South Zone,,"Plasterers, Drywall Finishers and Tapers",$21.21
Nova Scotia,North/Central/South Zone,,Roofers,$18.96
Nova Scotia,North/Central/South Zone,,Glaziers,$16.78
Nova Scotia,North/Central/South Zone,,Painters,$14.36
Nova Scotia,North/Central/South Zone,,Construction Millwrights,$23.12
Nova Scotia,North/Central/South Zone,,Heavy-Duty Equipment Mechanics,$18.26
Nova Scotia,North/Central/South Zone,,Refrigeration and Air Conditioning Mechanics,$20.56
Nova Scotia,North/Central/South Zone,,Crane Operators,$22.07
Nova Scotia,North/Central/South Zone,,Straight Truck Drivers,$13.18
Nova Scotia,North/Central/South Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,$13.60
Nova Scotia,North/Central/South Zone,,"Operators Heavy Equipment (ex. Cranes, Graders, Asphalt Paving)",$16.02
Nova Scotia,North/Central/South Zone,,Grader Operators,$15.86
Nova Scotia,North/Central/South Zone,,Paver and Asphalt Plant Operators,$14.93
Nova Scotia,North/Central/South Zone,,Packer (Road-Roller) Operators,$12.73
Nova Scotia,North/Central/South Zone,,Traffic Accommodation Person (Flagperson),$10.57
Nova Scotia,North/Central/South Zone,,Form Setters,$16.31
Nova Scotia,North/Central/South Zone,,Asphalt Layers (by hand - includes rakers),$15.53
Nova Scotia,North/Central/South Zone,,"Trade Helpers, Labourers (excluding Asphalt Layers, Flagperson, Formsetter)",$14.50
Nova Scotia,Halifax Zone,,Electricians,$24.46
Nova Scotia,Halifax Zone,,Plumbers,$24.50
Nova Scotia,Halifax Zone,,"Pipefitters, Steamfitters",$27.31
Nova Scotia,Halifax Zone,,Sprinkler System Installers,$26.61
Nova Scotia,Halifax Zone,,Sheet Metal Workers,$23.58
Nova Scotia,Halifax Zone,,Ironworkers,$24.65
Nova Scotia,Halifax Zone,,Carpenters,$22.35
Nova Scotia,Halifax Zone,,Bricklayers,$23.05
Nova Scotia,Halifax Zone,,Cement Finishers,$18.56
Nova Scotia,Halifax Zone,,"Tilesetters (including terrazo, marble setters)",$19.19
Nova Scotia,Halifax Zone,,"Lathers, Interior System Mechanics/Drywall Installers",$23.87
Nova Scotia,Halifax Zone,,"Plasterers, Drywall Finishers and Tapers",$22.80
Nova Scotia,Halifax Zone,,Roofers,$18.68
Nova Scotia,Halifax Zone,,Glaziers,$16.09
Nova Scotia,Halifax Zone,,Insulators,$25.03
Nova Scotia,Halifax Zone,,Painters,$16.99
Nova Scotia,Halifax Zone,,Construction Millwrights,$23.86
Nova Scotia,Halifax Zone,,Heavy-Duty Equipment Mechanics,$21.18
Nova Scotia,Halifax Zone,,Refrigeration and Air Conditioning Mechanics,$27.29
Nova Scotia,Halifax Zone,,Crane Operators,$22.07
Nova Scotia,Halifax Zone,,Straight Truck Drivers,$15.48
Nova Scotia,Halifax Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,$16.43
Nova Scotia,Halifax Zone,,"Operators Heavy Equipment (ex. Cranes, Graders, Asphalt Paving)",$18.18
Nova Scotia,Halifax Zone,,Grader Operators,$16.51
Nova Scotia,Halifax Zone,,Paver and Asphalt Plant Operators,$15.76
Nova Scotia,Halifax Zone,,Packer (Road-Roller) Operators,$14.74
Nova Scotia,Halifax Zone,,Traffic Accommodation Person (Flagperson),$9.59
Nova Scotia,Halifax Zone,,Form Setters,$15.77
Nova Scotia,Halifax Zone,,Asphalt Layers (by hand - includes rakers),$15.53
Nova Scotia,Halifax Zone,,"Trade Helpers, Labourers (ex. Asphalt Layers, Flagpersons, Form setter)",$15.65
Nova Scotia,Cape Breton Zone,,Electricians,$22.98
Nova Scotia,Cape Breton Zone,,Plumbers,$22.96
Nova Scotia,Cape Breton Zone,,"Pipefitters, Steamfitters",$26.48
Nova Scotia,Cape Breton Zone,,Sprinkler System Installer,$26.61
Nova Scotia,Cape Breton Zone,,Sheet Metal Workers,$23.66
Nova Scotia,Cape Breton Zone,,Ironworkers,$24.65
Nova Scotia,Cape Breton Zone,,Carpenters,$24.43
Nova Scotia,Cape Breton Zone,,Bricklayers,$24.47
Nova Scotia,Cape Breton Zone,,Cement Finishers,$19.09
Nova Scotia,Cape Breton Zone,,"Tilesetters (including terrazo, marble setters)",$18.72
Nova Scotia,Cape Breton Zone,,"Lathers, Interior System Mechanics/Drywall Installers",$23.87
Nova Scotia,Cape Breton Zone,,"Plasterers, Drywall Finishers and Tapers",$21.21
Nova Scotia,Cape Breton Zone,,Roofers,$18.96
Nova Scotia,Cape Breton Zone,,Glaziers,$16.78
Nova Scotia,Cape Breton Zone,,Painters,$22.21
Nova Scotia,Cape Breton Zone,,Construction Millwrights,$23.12
Nova Scotia,Cape Breton Zone,,Heavy-Duty Equipment Mechanics,$17.26
Nova Scotia,Cape Breton Zone,,Refrigeration and Air Conditioning Mechanics,$26.31
Nova Scotia,Cape Breton Zone,,Crane Operators,$22.07
Nova Scotia,Cape Breton Zone,,Straight Truck Drivers,$17.62
Nova Scotia,Cape Breton Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,$15.57
Nova Scotia,Cape Breton Zone,,"Operators Heavy Equip. (excludes Cranes, Graders, Asphalt Paving)",$22.19
Nova Scotia,Cape Breton Zone,,Grader Operators,$16.51
Nova Scotia,Cape Breton Zone,,Paver and Asphalt Plant Operators,$15.76
Nova Scotia,Cape Breton Zone,,Packer (Road-Roller) Operators,$17.17
Nova Scotia,Cape Breton Zone,,Traffic Accommodation Person (Flagperson),$12.70
Nova Scotia,Cape Breton Zone,,Form Setters,$16.35
Nova Scotia,Cape Breton Zone,,Asphalt Layers (by hand - includes rakers),$15.53
Nova Scotia,Cape Breton Zone,,"Trade Helpers, Labourers (ex. Asphalt Layers, Flag persons, Form setter)",$19.87
Nunavut,,,Electricians,$32.40
Nunavut,,,Plumbers,$29.10
Nunavut,,,Carpenters,$28.50
Nunavut,,,Heavy-Duty Equipment Mechanics,$30.70
Nunavut,,,"Heavy Equipment Operators (excluding Cranes, Graders and Asphalt and Paving Machines)",$26.00
Nunavut,,,"Helpers, Labourers (excluding Traffic Accommodation Persons)",$20.50
Ontario ,Northeast / Northwest Zone,,*Electricians,$35.22
Ontario ,Northeast / Northwest Zone,,*Plumbers,$32.30
Ontario ,Northeast / Northwest Zone,,Sprinkler System Installers,$36.14
Ontario ,Northeast / Northwest Zone,,"* Pipefitters, Steamfitters",$31.28
Ontario ,Northeast / Northwest Zone,,*Sheet Metal Workers,$31.70
Ontario ,Northeast / Northwest Zone,,Boilermakers,$33.26
Ontario ,Northeast / Northwest Zone,,Ironworkers [except Reinforcing Ironworker (Rebar/Rodman)],$29.93
Ontario ,Northeast / Northwest Zone,,Reinforcing Ironworkers (rebar/rodman),$32.22
Ontario ,Northeast / Northwest Zone,,Carpenters,$27.35
Ontario ,Northeast / Northwest Zone,,Bricklayers,$29.80
Ontario ,Northeast / Northwest Zone,,Cement Finishers,$23.23
Ontario ,Northeast / Northwest Zone,,"Tilesetters (including terrazo, marble setters)",$31.65
Ontario ,Northeast / Northwest Zone,,Plasterers and Drywall Tapers,$28.47
Ontario ,Northeast / Northwest Zone,,"Drywall Installers, and Finishers and Lathers",$29.95
Ontario ,Northeast / Northwest Zone,,Interior System Mechanics (including Steel Stud),$32.38
Ontario ,Northeast / Northwest Zone,,Roofers,$19.58
Ontario ,Northeast / Northwest Zone,,Glaziers,$29.20
Ontario ,Northeast / Northwest Zone,,Insulators,$30.76
Ontario ,Northeast / Northwest Zone,,Painters,$19.12
Ontario ,Northeast / Northwest Zone,,Flooring Installers,$30.22
Ontario ,Northeast / Northwest Zone,,Construction Millwrights,$32.82
Ontario ,Northeast / Northwest Zone,,*Heavy-Duty Equipment Mechanics,$22.29
Ontario ,Northeast / Northwest Zone,,*Refrigeration and Air Conditioning Mechanics,$33.19
Ontario ,Northeast / Northwest Zone,,Elevator Constructors,$43.53
Ontario ,Northeast / Northwest Zone,,*Mobile Crane Operators,$31.90
Ontario ,Northeast / Northwest Zone,,*Tower Crane Operators,$34.78
Ontario ,Northeast / Northwest Zone,,Straight Truck Drivers,$19.52
Ontario ,Northeast / Northwest Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,$19.59
Ontario ,Northeast / Northwest Zone,,"Operators - Heavy Equipment (ex. Cranes, Graders)",$22.27
Ontario ,Northeast / Northwest Zone,,Grader Operators,$22.62
Ontario ,Northeast / Northwest Zone,,Asphalt Plant Operators,$17.20
Ontario ,Northeast / Northwest Zone,,Scraper Operators,$29.16
Ontario ,Northeast / Northwest Zone,,Packer (road-roller) Operators,$17.95
Ontario ,Northeast / Northwest Zone,,Pressure Vessel Welders,$33.14
Ontario ,Northeast / Northwest Zone,,Traffic Accommodation/Control Persons,$13.73
Ontario ,Northeast / Northwest Zone,,Labourers (Except Traffic Accommodation/Control Persons),$18.68
Ontario ,Kingston / Muskoka Zone,,*Electricians,$33.22
Ontario ,Kingston / Muskoka Zone,,*Plumbers,$31.64
Ontario ,Kingston / Muskoka Zone,,Sprinkler System Installers,$36.14
Ontario ,Kingston / Muskoka Zone,,"* Pipefitters, Steamfitters",$31.28
Ontario ,Kingston / Muskoka Zone,,*Sheet Metal Workers,$28.64
Ontario ,Kingston / Muskoka Zone,,Boilermakers,$33.26
Ontario ,Kingston / Muskoka Zone,,Ironworkers [except Reinforcing Ironworker (Rebar/Rodman)],$29.93
Ontario ,Kingston / Muskoka Zone,,Reinforcing Ironworkers (rebar/rodman),$32.37
Ontario ,Kingston / Muskoka Zone,,Carpenters,$21.01
Ontario ,Kingston / Muskoka Zone,,Bricklayers,$29.78
Ontario ,Kingston / Muskoka Zone,,Cement Finishers,$19.51
Ontario ,Kingston / Muskoka Zone,,"Tilesetters (including terrazo, marble setters)",$27.26
Ontario ,Kingston / Muskoka Zone,,Plasterers and Drywall Tapers,$31.33
Ontario ,Kingston / Muskoka Zone,,"Drywall Installers, and Finishers and Lathers",$29.04
Ontario ,Kingston / Muskoka Zone,,Interior System Mechanics (including Steel Stud),$28.78
Ontario ,Kingston / Muskoka Zone,,Roofers,$20.55
Ontario ,Kingston / Muskoka Zone,,Glaziers,$29.20
Ontario ,Kingston / Muskoka Zone,,Insulators,$30.63
Ontario ,Kingston / Muskoka Zone,,Painters,$23.34
Ontario ,Kingston / Muskoka Zone,,Flooring Installers,$30.22
Ontario ,Kingston / Muskoka Zone,,Construction Millwrights,$34.60
Ontario ,Kingston / Muskoka Zone,,*Heavy-Duty Equipment Mechanics,$23.04
Ontario ,Kingston / Muskoka Zone,,*Refrigeration and Air Conditioning Mechanics,$28.91
Ontario ,Kingston / Muskoka Zone,,Elevator Constructors,$43.53
Ontario ,Kingston / Muskoka Zone,,*Mobile Crane Operators,$33.82
Ontario ,Kingston / Muskoka Zone,,*Tower Crane Operators,$34.78
Ontario ,Kingston / Muskoka Zone,,Straight Truck Drivers,$18.62
Ontario ,Kingston / Muskoka Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,$19.21
Ontario ,Kingston / Muskoka Zone,,"Operators - Heavy Equipment (ex. Cranes, Graders)",$21.66
Ontario ,Kingston / Muskoka Zone,,Grader Operators,$23.84
Ontario ,Kingston / Muskoka Zone,,Asphalt Plant Operators,$21.93
Ontario ,Kingston / Muskoka Zone,,Scraper Operators,$29.16
Ontario ,Kingston / Muskoka Zone,,Packer (road-roller) Operators,$16.25
Ontario ,Kingston / Muskoka Zone,,Pressure Vessel Welders,$35.82
Ontario ,Kingston / Muskoka Zone,,Traffic Accommodation/Control Persons,$15.25
Ontario ,Kingston / Muskoka Zone,,Labourers (Except Traffic Accommodation/Control Persons),$17.45
Ontario ,Ottawa Zone,,*Electricians,$33.19
Ontario ,Ottawa Zone,,*Plumbers,$30.99
Ontario ,Ottawa Zone,,Sprinkler System Installers,$36.14
Ontario ,Ottawa Zone,,"*Pipefitters, Steamfitters",$34.57
Ontario ,Ottawa Zone,,*Sheet Metal Workers,$31.06
Ontario ,Ottawa Zone,,Boilermakers,$33.26
Ontario ,Ottawa Zone,,Ironworkers [except Reinforcing Ironworker (Rebar/Rodman)],$30.17
Ontario ,Ottawa Zone,,Reinforcing Ironworkers (rebar/rodman),$29.50
Ontario ,Ottawa Zone,,Carpenters,$24.43
Ontario ,Ottawa Zone,,Bricklayers,$32.15
Ontario ,Ottawa Zone,,Cement Finishers,$26.98
Ontario ,Ottawa Zone,,"Tilesetters (including terrazo, marble setters)",$31.65
Ontario ,Ottawa Zone,,Plasterers and Drywall Tapers,$29.19
Ontario ,Ottawa Zone,,"Drywall Installers, Finishers and Lathers",$31.67
Ontario ,Ottawa Zone,,Interior System Mechanics (including Steel Stud),$32.38
Ontario ,Ottawa Zone,,Roofers,$21.50
Ontario ,Ottawa Zone,,Glaziers,$29.20
Ontario ,Ottawa Zone,,Insulators,$32.35
Ontario ,Ottawa Zone,,Painters,$18.44
Ontario ,Ottawa Zone,,Flooring Installers,$30.22
Ontario ,Ottawa Zone,,Construction Millwrights,$34.60
Ontario ,Ottawa Zone,,*Heavy-Duty Equipment Mechanics,$23.29
Ontario ,Ottawa Zone,,*Refrigeration and Air Conditioning Mechanics,$36.65
Ontario ,Ottawa Zone,,Elevator Constructors,$43.53
Ontario ,Ottawa Zone,,*Mobile Crane Operators,$33.82
Ontario ,Ottawa Zone,,*Tower Crane Operators,$34.78
Ontario ,Ottawa Zone,,Straight Truck Drivers,$19.45
Ontario ,Ottawa Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,$19.57
Ontario ,Ottawa Zone,,"Operators - Heavy Equipment (ex. Cranes, Graders)",$22.10
Ontario ,Ottawa Zone,,Grader Operators,$27.47
Ontario ,Ottawa Zone,,Asphalt Plant Operators,$22.01
Ontario ,Ottawa Zone,,Scraper Operators,$29.16
Ontario ,Ottawa Zone,,Packer (road-roller) Operators,$18.06
Ontario ,Ottawa Zone,,Pressure Vessel Welders,$33.61
Ontario ,Ottawa Zone,,Traffic Accommodation/Control Persons,$15.54
Ontario ,Ottawa Zone,,Labourers (Except Traffic Accommodation/Control Persons),$19.29
Ontario ,Toronto Zone,,*Electricians,$35.19
Ontario ,Toronto Zone,,*Plumbers,$36.84
Ontario ,Toronto Zone,,Sprinkler System Installers,$36.99
Ontario ,Toronto Zone,,"*Pipefitters, Steamfitters",$21.56
Ontario ,Toronto Zone,,*Sheet Metal Workers,$32.00
Ontario ,Toronto Zone,,Boilermakers,$33.26
Ontario ,Toronto Zone,,Ironworkers [except Reinforcing Ironworker (Rebar/Rodman)],$31.82
Ontario ,Toronto Zone,,Reinforcing Ironworkers (rebar/rodman),$32.77
Ontario ,Toronto Zone,,Carpenters,$28.42
Ontario ,Toronto Zone,,Bricklayers,$33.84
Ontario ,Toronto Zone,,Cement Finishers,$31.37
Ontario ,Toronto Zone,,"Tilesetters (including terrazo, marble setters)",$33.05
Ontario ,Toronto Zone,,Plasterers and Drywall Tapers,$34.34
Ontario ,Toronto Zone,,"Drywall Installers, Finishers and Lathers",$33.40
Ontario ,Toronto Zone,,Interior System Mechanics (including Steel Stud),$33.38
Ontario ,Toronto Zone,,Roofers,$21.23
Ontario ,Toronto Zone,,Glaziers,$32.02
Ontario ,Toronto Zone,,Insulators,$32.77
Ontario ,Toronto Zone,,Painters,$23.34
Ontario ,Toronto Zone,,Flooring Installers,$30.22
Ontario ,Toronto Zone,,Construction Millwrights,$37.46
